Name;Location;Audience;Audience_Qaulity;Price1;Post_kind1;Price2;Post_kind2;Price3;Post_kind3;Price4;Post_kind4
Екатерина;Москва, Россия;19 570;<span>17%</span>;8 832 ₽;Пост + Stories;4 416 ₽;Серия Stories (3-5);6 182 ₽;Пост в ленте;2 649 ₽;Stories
Андрей;Москва, Россия;6 873;<span>30%</span>;3 814 ₽;Пост + Stories;1 907 ₽;Серия Stories (3-5);2 669 ₽;Пост в ленте;1 144 ₽;Stories
Виктория;Москва, Россия;1 950;<span>43%</span>;1 170 ₽;Пост + Stories;585 ₽;Серия Stories (3-5);819 ₽;Пост в ленте;351 ₽;Stories
Олеся;Москва, Россия;3 187;<span>27%</span>;1 912 ₽;Пост + Stories;956 ₽;Серия Stories (3-5);1 338 ₽;Пост в ленте;573 ₽;Stories
Olga;Москва, Россия;22 881;<span>45%</span>;10 099 ₽;Пост + Stories;5 049 ₽;Серия Stories (3-5);7 069 ₽;Пост в ленте;3 029 ₽;Stories
Наталья;Москва, Россия;1 774;<span>27%</span>;1 064 ₽;Пост + Stories;532 ₽;Серия Stories (3-5);744 ₽;Пост в ленте;319 ₽;Stories
Анастасия;Санкт-Петербург, Россия;3 522;<span>21%</span>;2 113 ₽;Пост + Stories;1 056 ₽;Серия Stories (3-5);1 479 ₽;Пост в ленте;633 ₽;Stories
Екатерина;Москва, Россия;21 813;<span>32%</span>;9 697 ₽;Пост + Stories;4 848 ₽;Серия Stories (3-5);6 787 ₽;Пост в ленте;2 909 ₽;Stories
Марина;Москва, Россия;242 555;<span>40%</span>;68 156 ₽;Пост + Stories;34 078 ₽;Серия Stories (3-5);47 709 ₽;Пост в ленте;20 446 ₽;Stories
Ольга;Москва, Россия;10 820;<span>28%</span>;5 167 ₽;Пост + Stories;2 583 ₽;Серия Stories (3-5);3 616 ₽;Пост в ленте;1 550 ₽;Stories
Анна;Москва, Россия;12 106;<span>20%</span>;5 734 ₽;Пост + Stories;2 867 ₽;Серия Stories (3-5);4 013 ₽;Пост в ленте;1 720 ₽;Stories
Амира;Санкт-Петербург, Россия;4 541;<span>20%</span>;2 725 ₽;Пост + Stories;1 362 ₽;Серия Stories (3-5);1 907 ₽;Пост в ленте;817 ₽;Stories
Анастасия;Санкт-Петербург, Россия;4 351;<span>28%</span>;2 611 ₽;Пост + Stories;1 305 ₽;Серия Stories (3-5);1 827 ₽;Пост в ленте;783 ₽;Stories
Виктория;Санкт-Петербург, Россия;1 937;<span>41%</span>;1 162 ₽;Пост + Stories;581 ₽;Серия Stories (3-5);813 ₽;Пост в ленте;348 ₽;Stories
Надежда;Москва, Россия;13 612;<span>16%</span>;6 386 ₽;Пост + Stories;3 193 ₽;Серия Stories (3-5);4 470 ₽;Пост в ленте;1 915 ₽;Stories
Евгения;Москва, Россия;13 875;<span>32%</span>;6 499 ₽;Пост + Stories;3 249 ₽;Серия Stories (3-5);4 549 ₽;Пост в ленте;1 949 ₽;Stories
Олеся;Екатеринбург, Россия;7 148;<span>25%</span>;3 920 ₽;Пост + Stories;1 960 ₽;Серия Stories (3-5);2 744 ₽;Пост в ленте;1 176 ₽;Stories
Елена;Санкт-Петербург, Россия;2 912;<span>29%</span>;1 747 ₽;Пост + Stories;873 ₽;Серия Stories (3-5);1 222 ₽;Пост в ленте;524 ₽;Stories
Мария;Москва, Россия;12 632;<span>45%</span>;5 964 ₽;Пост + Stories;2 982 ₽;Серия Stories (3-5);4 174 ₽;Пост в ленте;1 789 ₽;Stories
